Agency,Client ID,Quarter,Baseline,DOB,DOB_Cat,Gender,Race,MaritalStatus,HighestEd,HousingType,HHAdults,HHChildren,CriminalBackground,ZipCode,date,Residential,TANFClient
CitySquare,12102378,2019 Q2,1,10/16/1969,1961-1970,Male,Black or African American,Unknown,"HS, GED, or equivalent",Unknown,1,0,No,75241,4/1/2019,0,0
CitySquare,12102119,2019 Q2,1,7/19/1971,1971-1980,Male,Black or African American,Unknown,"HS, GED, or equivalent",Lives with Relatives/Friends,1,0,No,75201,4/1/2019,0,0
CitySquare,12102726,2019 Q2,1,8/27/1993,1991-2000,Male,Hispanic,Married or Domestic Partnership,,Lives with Relatives/Friends,2,2,No,75238,4/1/2019,0,0
CitySquare,1299966,2019 Q2,1,6/30/1983,1981-1990,Male,Black or African American,Single,"Some college, no degree",Homeless,1,0,No,75226,4/1/2019,0,0
CitySquare,12101916,2019 Q2,1,5/29/1976,1971-1980,Male,Hispanic,Unknown,"HS, GED, or equivalent",Lives with Relatives/Friends,1,0,No,75062,4/1/2019,0,0
CitySquare,12101918,2019 Q2,1,12/10/1970,1961-1970,Male,Hispanic,Unknown,"HS, GED, or equivalent",Lives with Relatives/Friends,1,0,No,75231,4/1/2019,0,0
CitySquare,12101919,2019 Q2,1,4/24/1998,1991-2000,Female,Hispanic,Unknown,Less than HS,Unknown,3,0,No,75454,4/1/2019,0,0
CitySquare,12101920,2019 Q2,1,1/19/1978,1971-1980,Female,Hispanic,Unknown,"HS, GED, or equivalent",Unknown,3,0,No,75454,4/1/2019,0,0
CitySquare,12101921,2019 Q2,1,5/12/1976,1971-1980,Male,Hispanic,Unknown,Less than HS,Lives with Relatives/Friends,3,0,No,75454,4/1/2019,0,0
CitySquare,12102379,2019 Q2,1,10/31/1955,1951-1960,Female,Black or African American,Unknown,"HS, GED, or equivalent",Unknown,2,0,No,75215,4/1/2019,0,0
CitySquare,12102092,2019 Q2,1,6/25/1986,1981-1990,Male,Black or African American,Single,"Some college, no degree",Unknown,1,1,No,75227,4/1/2019,0,0
CitySquare,1294788,2019 Q2,1,10/1/1973,1971-1980,Male,Black or African American,Single,Less than HS,Homeless,1,0,No,75228,4/1/2019,1,0
CitySquare,1295174,2019 Q2,1,9/29/1963,1961-1970,Male,Black or African American,Single,"HS, GED, or equivalent",Lives with Relatives/Friends,1,0,No,75217,4/1/2019,0,0
CitySquare,12101596,2019 Q2,1,2/24/1993,1991-2000,Female,Black or African American,Unknown,,Unknown,1,1,No,75203,4/1/2019,0,0
CitySquare,12101437,2019 Q2,1,1/7/1971,1971-1980,Male,Black or African American,Single,"Some college, no degree",Lives with Relatives/Friends,3,0,No,75238,4/1/2019,0,0
CitySquare,1249490,2019 Q2,1,6/18/1982,1981-1990,Female,Black or African American,Unknown,,Unknown,1,0,No,75287,4/1/2019,0,0
CitySquare,12101922,2019 Q2,1,12/29/1994,1991-2000,Male,Black or African American,Unknown,"HS, GED, or equivalent",Lives with Relatives/Friends,3,0,No,75238,4/1/2019,0,0
CitySquare,1297547,2019 Q2,1,10/11/1971,1971-1980,Male,Black or African American,Single,"HS, GED, or equivalent",Unknown,1,0,No,75201,4/1/2019,0,0
CitySquare,12102727,2019 Q2,1,12/29/1996,1991-2000,Male,Black or African American,Single,"Some college, no degree",Lives with Relatives/Friends,1,0,No,76119,4/1/2019,0,0
HCC,HCC141381,2019 Q2,1,6/2/1994,1991-2000,Female,Black or African American,Single,Less than HS,Receives free or subsidized housing,2,4,No,75216,4/1/2019,,
HCC,HCC141382,2019 Q2,1,7/20/1952,1951-1960,Male,White,Single,Bachelor's Degree,Receives free or subsidized housing,1,0,No,75254,4/1/2019,,
HCC,HCC141383,2019 Q2,1,11/14/1988,1981-1990,Female,Multiple,Single,"Some college, no degree",Receives free or subsidized housing,1,2,No,75243,4/1/2019,,
HCC,HCC141384,2019 Q2,1,5/13/1988,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,2,No,75243,4/1/2019,,
HCC,HCC141385,2019 Q2,1,12/8/1992,1991-2000,Female,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,1,No,75217,4/1/2019,,
HCC,HCC141386,2019 Q2,1,1/26/1993,1991-2000,Female,Black or African American,Single,Less than HS,Receives free or subsidized housing,1,8,No,75224,4/1/2019,,
HCC,HCC141387,2019 Q2,1,5/25/1962,1961-1970,Female,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,1,No,75216,4/1/2019,,
HCC,HCC141388,2019 Q2,1,8/31/1998,1991-2000,Female,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,2,Yes,75216,4/1/2019,,
HCC,HCC141389,2019 Q2,1,11/17/1989,1981-1990,Female,Black or African American,Single,"Some college, no degree",Receives free or subsidized housing,1,1,No,75216,4/1/2019,,
HCC,HCC141390,2019 Q2,1,2/12/1976,1971-1980,Female,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,1,Yes,75216,4/1/2019,,
HCC,HCC141391,2019 Q2,1,12/3/1985,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,2,Yes,75216,4/1/2019,,
HCC,HCC141392,2019 Q2,1,9/30/1988,1981-1990,Male,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,1,Yes,75216,4/1/2019,,
HCC,HCC141393,2019 Q2,1,11/23/1984,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,1,No,75216,4/1/2019,,
HCC,HCC141394,2019 Q2,1,11/25/1983,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,3,No,75216,4/1/2019,,
HCC,HCC141395,2019 Q2,1,9/18/1990,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,1,Yes,75216,4/1/2019,,
HCC,HCC141396,2019 Q2,1,7/30/1994,1991-2000,Female,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,1,Yes,75216,4/1/2019,,
HCC,HCC141397,2019 Q2,1,1/1/1975,1971-1980,Female,White,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,1,No,75243,4/1/2019,,
Interfaith,15010000,2019 Q2,1,5/9/1984,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,1,2,No,75243,4/1/2019,0,0
Interfaith,15020000,2019 Q2,1,11/19/1987,1981-1990,Female,Black or African American,Single,"Some college, no degree",Homeless,1,1,No,75206,4/1/2019,1,0
Interfaith,15030000,2019 Q2,1,3/2/1969,1961-1970,Female,Hispanic,Separated,"HS, GED, or equivalent",Rents,1,3,No,75244,4/1/2019,0,0
Interfaith,150921180,2019 Q2,1,6/9/1973,1971-1980,Female,White,Divorced,Bachelor's Degree,Homeless,1,1,Yes,75206,4/1/2019,1,0
Interfaith,15040000,2019 Q2,1,8/31/1975,1971-1980,Female,Black or African American,Divorced,"HS, GED, or equivalent",Rents,1,1,No,75206,4/1/2019,0,0
Interfaith,15050000,2019 Q2,1,11/25/1985,1981-1990,Female,Hispanic,Single,"HS, GED, or equivalent",Rents,1,4,No,75780,4/1/2019,0,0
Interfaith,15060000,2019 Q2,1,10/7/1981,1981-1990,Female,Black or African American,Single,"Some college, no degree",Rents,1,2,No,75227,4/1/2019,0,0
Interfaith,15070000,2019 Q2,1,2/18/1987,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Homeless,1,1,No,75206,4/1/2019,1,0
Interfaith,15120817,2019 Q2,1,8/21/1988,1981-1990,Female,Black or African American,Single,Graduate Degree or above,Homeless,1,1,No,75206,4/1/2019,1,0
Interfaith,15080000,2019 Q2,1,11/11/1992,1991-2000,Female,Black or African American,Single,"HS, GED, or equivalent",Homeless,1,1,No,75206,4/1/2019,1,0
Interfaith,15090000,2019 Q2,1,3/17/1992,1991-2000,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,1,3,No,75227,4/1/2019,0,0
Interfaith,15100000,2019 Q2,1,10/22/1992,1991-2000,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,1,1,No,75149,4/1/2019,0,0
Interfaith,15110000,2019 Q2,1,2/3/1980,1971-1980,Female,Black or African American,Single,"HS, GED, or equivalent",Homeless,1,2,No,75206,4/1/2019,1,0
Interfaith,15120000,2019 Q2,1,10/28/1985,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,1,3,No,75237,4/1/2019,0,0
Interfaith,15130000,2019 Q2,1,5/19/1973,1971-1980,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,1,1,No,75013,4/1/2019,0,0
Interfaith,15140000,2019 Q2,1,5/13/1987,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,1,2,No,75243,4/1/2019,0,0
Interfaith,15150000,2019 Q2,1,10/1/1982,1981-1990,Female,Hispanic,Single,Associate Degree,Rents,1,3,No,75074,4/1/2019,0,0
Interfaith,15160000,2019 Q2,1,7/12/1989,1981-1990,Female,Black or African American,Single,"Some college, no degree",Rents,1,2,No,75204,4/1/2019,0,0
Interfaith,15170000,2019 Q2,1,6/29/1990,1981-1990,Female,Black or African American,Separated,"HS, GED, or equivalent",Homeless,1,2,No,75206,4/1/2019,1,0
Interfaith,15180000,2019 Q2,1,3/16/1985,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Homeless,1,3,No,75206,4/1/2019,1,0
Interfaith,15190000,2019 Q2,1,12/15/1981,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,1,3,No,75232,4/1/2019,0,0
Interfaith,15200000,2019 Q2,1,11/30/1988,1981-1990,Female,Black or African American,Single,"Some college, no degree",Rents,1,2,No,75228,4/1/2019,0,0
Interfaith,15210000,2019 Q2,1,8/30/1977,1971-1980,Female,Black or African American,Separated,"HS, GED, or equivalent",Homeless,1,1,No,75206,4/1/2019,1,0
Interfaith,150118190,2019 Q2,1,7/9/1983,1981-1990,Female,Black or African American,Divorced,"Some college, no degree",Homeless,1,3,No,75206,4/1/2019,1,0
IRC,160107,2019 Q2,1,4/10/1973,1971-1980,Male,White,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,0,,75231,4/1/2019,,0
IRC,160108,2019 Q2,1,5/9/1984,1981-1990,Male,White,Married or Domestic Partnership,Bachelor's Degree,Rents,2,2,,75243,4/1/2019,,0
IRC,160109,2019 Q2,1,12/19/1994,1991-2000,Female,White,Married or Domestic Partnership,Bachelor's Degree,Rents,2,0,,76119,4/1/2019,,0
IRC,160110,2019 Q2,1,4/5/1987,1981-1990,Male,White,Married or Domestic Partnership,Bachelor's Degree,Receives free or subsidized housing,2,2,,75081,4/1/2019,,0
IRC,160111,2019 Q2,1,12/12/1976,1971-1980,Male,Black or African American,Single,Bachelor's Degree,Receives free or subsidized housing,1,0,,75231,4/1/2019,,0
IRC,160112,2019 Q2,1,1/1/1993,1991-2000,Male,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,0,,75231,4/1/2019,,0
IRC,160113,2019 Q2,1,2/1/1988,1981-1990,Male,Hispanic,Single,,Rents,1,0,,75052,4/1/2019,,0
IRC,160114,2019 Q2,1,8/5/1992,1991-2000,Male,Asian,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,2,2,,75067,4/1/2019,,0
IRC,160115,2019 Q2,1,5/15/1972,1971-1980,Male,Asian,Married or Domestic Partnership,Less than HS,Rents,4,3,,75238,4/1/2019,,0
IRC,160116,2019 Q2,1,1/1/1997,1991-2000,Male,Asian,Married or Domestic Partnership,Less than HS,Rents,4,3,,75042,4/1/2019,,0
IRC,160117,2019 Q2,1,9/10/1963,1961-1970,Female,Black or African American,Single,"HS, GED, or equivalent",,1,0,,75217,4/1/2019,,
IRC,160118,2019 Q2,1,10/24/1958,1951-1960,Male,Hispanic,Single,Less than HS,Rents,2,,,75211,4/1/2019,,0
IRC,160119,2019 Q2,1,3/3/1988,1981-1990,Male,Asian,Married or Domestic Partnership,Unknown,Receives free or subsidized housing,2,1,,75231,4/1/2019,,0
IRC,160120,2019 Q2,1,8/19/1987,1981-1990,Male,Asian,Married or Domestic Partnership,"HS, GED, or equivalent",Receives free or subsidized housing,2,2,,75231,4/1/2019,,0
IRC,160121,2019 Q2,1,11/7/1988,1981-1990,Female,Black or African American,Single,Bachelor's Degree,,1,0,,75149,4/1/2019,,
IRC,160122,2019 Q2,1,4/30/1960,1951-1960,Male,White,Married or Domestic Partnership,Less than HS,Rents,2,0,,75243,4/1/2019,,0
IRC,160123,2019 Q2,1,8/30/1992,1991-2000,Female,Asian,Married or Domestic Partnership,Unknown,Rents,2,1,,75231,4/1/2019,,0
IRC,160124,2019 Q2,1,10/5/1993,1991-2000,Male,Asian,Married or Domestic Partnership,Unknown,Rents,2,3,,75231,4/1/2019,,0
IRC,160125,2019 Q2,1,8/9/1996,1991-2000,Female,White,Married or Domestic Partnership,"HS, GED, or equivalent",Receives free or subsidized housing,2,1,,75243,4/1/2019,,0
IRC,160126,2019 Q2,1,8/15/1990,1981-1990,Male,White,Married or Domestic Partnership,"HS, GED, or equivalent",Receives free or subsidized housing,2,1,,75243,4/1/2019,,0
IRC,160127,2019 Q2,1,1/12/1990,1981-1990,Female,Black or African American,Single,Bachelor's Degree,Rents,1,0,,75052,4/1/2019,,0
IRC,160128,2019 Q2,1,1/1/1990,1981-1990,Female,Black or African American,Married or Domestic Partnership,Less than HS,Rents,2,3,,75231,4/1/2019,,0
IRC,160129,2019 Q2,1,1/1/1965,1961-1970,Male,Black or African American,Married or Domestic Partnership,Less than HS,Receives free or subsidized housing,2,2,,75231,4/1/2019,,0
IRC,160130,2019 Q2,1,1/1/1995,1991-2000,Male,Black or African American,Single,"HS, GED, or equivalent",Rents,4,0,,75126,4/1/2019,,0
IRC,160131,2019 Q2,1,1/1/1997,1991-2000,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,4,0,,75231,4/1/2019,,0
IRC,160132,2019 Q2,1,9/2/1988,1981-1990,Male,White,Single,Unknown,Rents,1,0,,75081,4/1/2019,,0
IRC,160133,2019 Q2,1,5/18/1989,1981-1990,Female,Asian,Married or Domestic Partnership,Unknown,Rents,2,3,,75092,4/1/2019,,0
IRC,160134,2019 Q2,1,1/1/1991,1991-2000,Male,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,0,,75231,4/1/2019,,0
IRC,160135,2019 Q2,1,1/10/1984,1981-1990,Male,White,Married or Domestic Partnership,Bachelor's Degree,Rents,2,0,,75243,4/1/2019,,0
IRC,160136,2019 Q2,1,10/11/1990,1981-1990,Female,Hispanic,Single,"HS, GED, or equivalent",Rents,,,,75220,4/1/2019,,0
IRC,160137,2019 Q2,1,7/16/1983,1981-1990,Male,Black or African American,Married or Domestic Partnership,,,1,0,,75228,4/1/2019,,0
IRC,160138,2019 Q2,1,1/1/1994,1991-2000,Male,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,0,,75231,4/1/2019,,0
IRC,160139,2019 Q2,1,7/26/1995,1991-2000,Male,Black or African American,Single,"HS, GED, or equivalent",Receives free or subsidized housing,1,0,,75231,4/1/2019,,0
IRC,160140,2019 Q2,1,1/1/1992,1991-2000,Male,Black or African American,Single,Less than HS,Receives free or subsidized housing,1,0,,75243,4/1/2019,,0
IRC,160141,2019 Q2,1,6/5/1985,1981-1990,Male,Black or African American,Married or Domestic Partnership,Less than HS,Rents,2,3,,75231,4/1/2019,,0
IRC,160142,2019 Q2,1,1/1/1978,1971-1980,Female,Black or African American,Married or Domestic Partnership,Less than HS,Receives free or subsidized housing,,,,75231,4/1/2019,,0
IRC,160143,2019 Q2,1,1/1/1984,1981-1990,Male,Black or African American,Single,"HS, GED, or equivalent",Rents,2,3,,75228,4/1/2019,,0
IRC,160144,2019 Q2,1,6/15/1982,1981-1990,Male,Asian,Married or Domestic Partnership,Less than HS,Rents,2,3,,75092,4/1/2019,,0
IRC,160145,2019 Q2,1,5/10/1988,1981-1990,Male,Asian,Married or Domestic Partnership,Less than HS,,3,0,,75092,4/1/2019,,0
IRC,160146,2019 Q2,1,5/3/1992,1991-2000,Female,Asian,Single,"HS, GED, or equivalent",Rents,2,1,,75231,4/1/2019,,0
IRC,160147,2019 Q2,1,1/6/1979,1971-1980,Male,White,Married or Domestic Partnership,Bachelor's Degree,Rents,2,4,,75243,4/1/2019,,0
IRC,160148,2019 Q2,1,11/20/1982,1981-1990,Female,White,Married or Domestic Partnership,Unknown,Rents,2,4,,75243,4/1/2019,,0
IRC,160149,2019 Q2,1,3/13/1981,1981-1990,Female,White,Divorced,Bachelor's Degree,Receives free or subsidized housing,1,1,,75231,4/1/2019,,0
IRC,160150,2019 Q2,1,7/19/1981,1981-1990,Female,Other,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,2,1,,75231,4/1/2019,,0
IRC,160151,2019 Q2,1,1/1/1992,1991-2000,Female,Black or African American,Single,Less than HS,Rents,2,3,,75231,4/1/2019,,0
IRC,160152,2019 Q2,1,7/7/1983,1981-1990,Male,Asian,Married or Domestic Partnership,Less than HS,Rents,2,2,,75067,4/1/2019,,0
IRC,160153,2019 Q2,1,5/4/1998,1991-2000,Female,Asian,Married or Domestic Partnership,Unknown,Rents,1,0,,75231,4/1/2019,,0
IRC,160154,2019 Q2,1,6/6/1988,1981-1990,Female,Asian,Married or Domestic Partnership,Less than HS,Rents,1,0,,75067,4/1/2019,,0
IRC,160155,2019 Q2,1,10/11/1984,1981-1990,Male,Asian,Married or Domestic Partnership,Less than HS,Rents,2,1,,75231,4/1/2019,,0
IRC,160156,2019 Q2,1,7/8/1993,1991-2000,Male,Asian,Single,"HS, GED, or equivalent",Rents,1,0,,75231,4/1/2019,,0
IRC,160157,2019 Q2,1,1/29/1992,1991-2000,Male,Asian,Married or Domestic Partnership,Less than HS,Receives free or subsidized housing,2,1,,75243,4/1/2019,,0
IRC,160158,2019 Q2,1,1/1/1990,1981-1990,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,1,3,,75243,4/1/2019,,0
IRC,160159,2019 Q2,1,1/1/1972,1971-1980,Female,Black or African American,Married or Domestic Partnership,Less than HS,Receives free or subsidized housing,2,3,,75231,4/1/2019,,0
IRC,160160,2019 Q2,1,1/1/1982,1981-1990,Female,Black or African American,Single,Bachelor's Degree,Receives free or subsidized housing,1,2,,75231,4/1/2019,,0
IRC,160161,2019 Q2,1,1/1/1969,1961-1970,Male,Black or African American,Married or Domestic Partnership,Less than HS,Rents,2,5,,75243,4/1/2019,,0
IRC,160162,2019 Q2,1,11/22/1987,1981-1990,Female,White,Married or Domestic Partnership,Bachelor's Degree,Receives free or subsidized housing,2,2,,75081,4/1/2019,,0
IRC,160163,2019 Q2,1,3/24/1980,1971-1980,Male,Black or African American,Single,Bachelor's Degree,Receives free or subsidized housing,1,0,,75231,4/1/2019,,0
IRC,160164,2019 Q2,1,9/15/1988,1981-1990,Male,White,Single,"HS, GED, or equivalent",Receives free or subsidized housing,2,0,,75254,4/1/2019,,0
IRC,160165,2019 Q2,1,5/12/1986,1981-1990,Male,Black or African American,Married or Domestic Partnership,Bachelor's Degree,,2,3,,75243,4/1/2019,,
IRC,160166,2019 Q2,1,10/1/1991,1991-2000,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,2,3,,75228,4/1/2019,,0
IRC,160167,2019 Q2,1,1/1/1975,1971-1980,Female,Black or African American,Married or Domestic Partnership,Less than HS,Rents,2,5,,75243,4/1/2019,,0
